instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13357058,52176,ADANIPORTS25OCTFUT,ADANIPORTS,0.0,2025-10-28,0.0,0.1,475,FUT,NFO-FUT,NFO
16412674,64112,ALKEM25AUGFUT,ALKEM,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13573378,53021,ALKEM25SEPFUT,ALKEM,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13357314,52177,ALKEM25OCTFUT,ALKEM,0.0,2025-10-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13575170,53028,AMBER25AUGFUT,AMBER,0.0,2025-08-28,0.0,0.5,100,FUT,NFO-FUT,NFO
13575938,53031,AMBER25SEPFUT,AMBER,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13357570,52178,AMBER25OCTFUT,AMBER,0.0,2025-10-28,0.0,0.5,100,FUT,NFO-FUT,NFO
16412930,64113,AMBUJACEM25AUGFUT,AMBUJACEM,0.0,2025-08-28,0.0,0.05,1050,FUT,NFO-FUT,NFO
13576194,53032,AMBUJACEM25SEPFUT,AMBUJACEM,0.0,2025-09-30,0.0,0.05,1050,FUT,NFO-FUT,NFO
13357826,52179,AMBUJACEM25OCTFUT,AMBUJACEM,0.0,2025-10-28,0.0,0.05,1050,FUT,NFO-FUT,NFO
16413186,64114,ANGELONE25AUGFUT,ANGELONE,0.0,2025-08-28,0.0,0.1,250,FUT,NFO-FUT,NFO
13576450,53033,ANGELONE25SEPFUT,ANGELONE,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13363202,52200,ANGELONE25OCTFUT,ANGELONE,0.0,2025-10-28,0.0,0.1,250,FUT,NFO-FUT,NFO
16413442,64115,APLAPOLLO25AUGFUT,APLAPOLLO,0.0,2025-08-28,0.0,0.1,350,FUT,NFO-FUT,NFO
13576706,53034,APLAPOLLO25SEPFUT,APLAPOLLO,0.0,2025-09-30,0.0,0.1,350,FUT,NFO-FUT,NFO
13363458,52201,APLAPOLLO25OCTFUT,APLAPOLLO,0.0,2025-10-28,0.0,0.1,350,FUT,NFO-FUT,NFO
16413698,64116,APOLLOHOSP25AUGFUT,APOLLOHOSP,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13577218,53036,APOLLOHOSP25SEPFUT,APOLLOHOSP,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13366786,52214,APOLLOHOSP25OCTFUT,APOLLOHOSP,0.0,2025-10-28,0.0,0.5,125,FUT,NFO-FUT,NFO
16413954,64117,ASHOKLEY25AUGFUT,ASHOKLEY,0.0,2025-08-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
13577474,53037,ASHOKLEY25SEPFUT,ASHOKLEY,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13367042,52215,ASHOKLEY25OCTFUT,ASHOKLEY,0.0,2025-10-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
16414210,64118,ASIANPAINT25AUGFUT,ASIANPAINT,0.0,2025-08-28,0.0,0.1,250,FUT,NFO-FUT,NFO
13577986,53039,ASIANPAINT25SEPFUT,ASIANPAINT,0.0,2025-09-30,0.0,0.1,250,FUT,NFO-FUT,NFO
13367298,52216,ASIANPAINT25OCTFUT,ASIANPAINT,0.0,2025-10-28,0.0,0.1,250,FUT,NFO-FUT,NFO
16414466,64119,ASTRAL25AUGFUT,ASTRAL,0.0,2025-08-28,0.0,0.1,425,FUT,NFO-FUT,NFO
13578242,53040,ASTRAL25SEPFUT,ASTRAL,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13367554,52217,ASTRAL25OCTFUT,ASTRAL,0.0,2025-10-28,0.0,0.1,425,FUT,NFO-FUT,NFO
16414722,64120,ATGL25AUGFUT,ATGL,0.0,2025-08-28,0.0,0.05,875,FUT,NFO-FUT,NFO
16414978,64121,AUBANK25AUGFUT,AUBANK,0.0,2025-08-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
13578498,53041,AUBANK25SEPFUT,AUBANK,0.0,2025-09-30,0.0,0.05,1000,FUT,NFO-FUT,NFO
13367810,52218,AUBANK25OCTFUT,AUBANK,0.0,2025-10-28,0.0,0.05,1000,FUT,NFO-FUT,NFO
16436738,64206,AUROPHARMA25AUGFUT,AUROPHARMA,0.0,2025-08-28,0.0,0.1,550,FUT,NFO-FUT,NFO
13578754,53042,AUROPHARMA25SEPFUT,AUROPHARMA,0.0,2025-09-30,0.0,0.1,550,FUT,NFO-FUT,NFO
13368066,52219,AUROPHARMA25OCTFUT,AUROPHARMA,0.0,2025-10-28,0.0,0.1,550,FUT,NFO-FUT,NFO
16436994,64207,AXISBANK25AUGFUT,AXISBANK,0.0,2025-08-28,0.0,0.1,625,FUT,NFO-FUT,NFO
13579010,53043,AXISBANK25SEPFUT,AXISBANK,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13369090,52223,AXISBANK25OCTFUT,AXISBANK,0.0,2025-10-28,0.0,0.1,625,FUT,NFO-FUT,NFO
16439554,64217,BAJAJ-AUTO25AUGFUT,BAJAJ-AUTO,0.0,2025-08-28,0.0,0.5,75,FUT,NFO-FUT,NFO
13579266,53044,BAJAJ-AUTO25SEPFUT,BAJAJ-AUTO,0.0,2025-09-30,0.0,0.5,75,FUT,NFO-FUT,NFO
13369346,52224,BAJAJ-AUTO25OCTFUT,BAJAJ-AUTO,0.0,2025-10-28,0.0,0.5,75,FUT,NFO-FUT,NFO
16440066,64219,BAJAJFINSV25AUGFUT,BAJAJFINSV,0.0,2025-08-28,0.0,0.1,500,FUT,NFO-FUT,NFO
13579522,53045,BAJAJFINSV25SEPFUT,BAJAJFINSV,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13373442,52240,BAJAJFINSV25OCTFUT,BAJAJFINSV,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
16440322,64220,BAJFINANCE25AUGFUT,BAJFINANCE,0.0,2025-08-28,0.0,0.05,750,FUT,NFO-FUT,NFO
13579778,53046,BAJFINANCE25SEPFUT,BAJFINANCE,0.0,2025-09-30,0.0,0.05,750,FUT,NFO-FUT,NFO
13373698,52241,BAJFINANCE25OCTFUT,BAJFINANCE,0.0,2025-10-28,0.0,0.05,750,FUT,NFO-FUT,NFO
16440578,64221,BANDHANBNK25AUGFUT,BANDHANBNK,0.0,2025-08-28,0.0,0.01,3600,FUT,NFO-FUT,NFO
13580034,53047,BANDHANBNK25SEPFUT,BANDHANBNK,0.0,2025-09-30,0.0,0.01,3600,FUT,NFO-FUT,NFO
13377282,52255,BANDHANBNK25OCTFUT,BANDHANBNK,0.0,2025-10-28,0.0,0.01,3600,FUT,NFO-FUT,NFO
16440834,64222,BANKBARODA25AUGFUT,BANKBARODA,0.0,2025-08-28,0.0,0.01,2925,FUT,NFO-FUT,NFO
13580290,53048,BANKBARODA25SEPFUT,BANKBARODA,0.0,2025-09-30,0.0,0.01,2925,FUT,NFO-FUT,NFO
13377538,52256,BANKBARODA25OCTFUT,BANKBARODA,0.0,2025-10-28,0.0,0.01,2925,FUT,NFO-FUT,NFO
16441090,64223,BANKINDIA25AUGFUT,BANKINDIA,0.0,2025-08-28,0.0,0.01,5200,FUT,NFO-FUT,NFO
13580546,53049,BANKINDIA25SEPFUT,BANKINDIA,0.0,2025-09-30,0.0,0.01,5200,FUT,NFO-FUT,NFO
13380098,52266,BANKINDIA25OCTFUT,BANKINDIA,0.0,2025-10-28,0.0,0.01,5200,FUT,NFO-FUT,NFO
16441858,64226,BDL25AUGFUT,BDL,0.0,2025-08-28,0.0,0.1,325,FUT,NFO-FUT,NFO
13580802,53050,BDL25SEPFUT,BDL,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13380354,52267,BDL25OCTFUT,BDL,0.0,2025-10-28,0.0,0.1,325,FUT,NFO-FUT,NFO
16442114,64227,BEL25AUGFUT,BEL,0.0,2025-08-28,0.0,0.05,2850,FUT,NFO-FUT,NFO
13581058,53051,BEL25SEPFUT,BEL,0.0,2025-09-30,0.0,0.05,2850,FUT,NFO-FUT,NFO
13382146,52274,BEL25OCTFUT,BEL,0.0,2025-10-28,0.0,0.05,2850,FUT,NFO-FUT,NFO
16442370,64228,BHARATFORG25AUGFUT,BHARATFORG,0.0,2025-08-28,0.0,0.1,500,FUT,NFO-FUT,NFO
13581314,53052,BHARATFORG25SEPFUT,BHARATFORG,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13382402,52275,BHARATFORG25OCTFUT,BHARATFORG,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
16442626,64229,BHARTIARTL25AUGFUT,BHARTIARTL,0.0,2025-08-28,0.0,0.1,475,FUT,NFO-FUT,NFO
13582082,53055,BHARTIARTL25SEPFUT,BHARTIARTL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13382658,52276,BHARTIARTL25OCTFUT,BHARTIARTL,0.0,2025-10-28,0.0,0.1,475,FUT,NFO-FUT,NFO
16442882,64230,BHEL25AUGFUT,BHEL,0.0,2025-08-28,0.0,0.01,2625,FUT,NFO-FUT,NFO
13582338,53056,BHEL25SEPFUT,BHEL,0.0,2025-09-30,0.0,0.01,2625,FUT,NFO-FUT,NFO
13382914,52277,BHEL25OCTFUT,BHEL,0.0,2025-10-28,0.0,0.01,2625,FUT,NFO-FUT,NFO
16443138,64231,BIOCON25AUGFUT,BIOCON,0.0,2025-08-28,0.0,0.05,2500,FUT,NFO-FUT,NFO
13582594,53057,BIOCON25SEPFUT,BIOCON,0.0,2025-09-30,0.0,0.05,2500,FUT,NFO-FUT,NFO
13385730,52288,BIOCON25OCTFUT,BIOCON,0.0,2025-10-28,0.0,0.05,2500,FUT,NFO-FUT,NFO
16447490,64248,BLUESTARCO25AUGFUT,BLUESTARCO,0.0,2025-08-28,0.0,0.1,325,FUT,NFO-FUT,NFO
13582850,53058,BLUESTARCO25SEPFUT,BLUESTARCO,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13385986,52289,BLUESTARCO25OCTFUT,BLUESTARCO,0.0,2025-10-28,0.0,0.1,325,FUT,NFO-FUT,NFO
16447746,64249,BOSCHLTD25AUGFUT,BOSCHLTD,0.0,2025-08-28,0.0,5.0,25,FUT,NFO-FUT,NFO
13583106,53059,BOSCHLTD25SEPFUT,BOSCHLTD,0.0,2025-09-30,0.0,5.0,25,FUT,NFO-FUT,NFO
13386242,52290,BOSCHLTD25OCTFUT,BOSCHLTD,0.0,2025-10-28,0.0,5.0,25,FUT,NFO-FUT,NFO
16479234,64372,BPCL25AUGFUT,BPCL,0.0,2025-08-28,0.0,0.05,1975,FUT,NFO-FUT,NFO
13583362,53060,BPCL25SEPFUT,BPCL,0.0,2025-09-30,0.0,0.05,1975,FUT,NFO-FUT,NFO
13386498,52291,BPCL25OCTFUT,BPCL,0.0,2025-10-28,0.0,0.05,1975,FUT,NFO-FUT,NFO
16479490,64373,BRITANNIA25AUGFUT,BRITANNIA,0.0,2025-08-28,0.0,0.5,125,FUT,NFO-FUT,NFO
13583618,53061,BRITANNIA25SEPFUT,BRITANNIA,0.0,2025-09-30,0.0,0.5,125,FUT,NFO-FUT,NFO
13386754,52292,BRITANNIA25OCTFUT,BRITANNIA,0.0,2025-10-28,0.0,0.5,125,FUT,NFO-FUT,NFO
16480770,64378,BSE25AUGFUT,BSE,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13583874,53062,BSE25SEPFUT,BSE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13389058,52301,BSE25OCTFUT,BSE,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
16481026,64379,CAMS25AUGFUT,CAMS,0.0,2025-08-28,0.0,0.1,150,FUT,NFO-FUT,NFO
13584130,53063,CAMS25SEPFUT,CAMS,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13389314,52302,CAMS25OCTFUT,CAMS,0.0,2025-10-28,0.0,0.1,150,FUT,NFO-FUT,NFO
16481282,64380,CANBK25AUGFUT,CANBK,0.0,2025-08-28,0.0,0.01,6750,FUT,NFO-FUT,NFO
13584386,53064,CANBK25SEPFUT,CANBK,0.0,2025-09-30,0.0,0.01,6750,FUT,NFO-FUT,NFO
13389570,52303,CANBK25OCTFUT,CANBK,0.0,2025-10-28,0.0,0.01,6750,FUT,NFO-FUT,NFO
16481538,64381,CDSL25AUGFUT,CDSL,0.0,2025-08-28,0.0,0.1,475,FUT,NFO-FUT,NFO
13584642,53065,CDSL25SEPFUT,CDSL,0.0,2025-09-30,0.0,0.1,475,FUT,NFO-FUT,NFO
13389826,52304,CDSL25OCTFUT,CDSL,0.0,2025-10-28,0.0,0.1,475,FUT,NFO-FUT,NFO
16481794,64382,CESC25AUGFUT,CESC,0.0,2025-08-28,0.0,0.01,3625,FUT,NFO-FUT,NFO
16482050,64383,CGPOWER25AUGFUT,CGPOWER,0.0,2025-08-28,0.0,0.05,850,FUT,NFO-FUT,NFO
13584898,53066,CGPOWER25SEPFUT,CGPOWER,0.0,2025-09-30,0.0,0.05,850,FUT,NFO-FUT,NFO
13390082,52305,CGPOWER25OCTFUT,CGPOWER,0.0,2025-10-28,0.0,0.05,850,FUT,NFO-FUT,NFO
16483074,64387,CHOLAFIN25AUGFUT,CHOLAFIN,0.0,2025-08-28,0.0,0.1,625,FUT,NFO-FUT,NFO
13585410,53068,CHOLAFIN25SEPFUT,CHOLAFIN,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13390338,52306,CHOLAFIN25OCTFUT,CHOLAFIN,0.0,2025-10-28,0.0,0.1,625,FUT,NFO-FUT,NFO
16483330,64388,CIPLA25AUGFUT,CIPLA,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13585666,53069,CIPLA25SEPFUT,CIPLA,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13390594,52307,CIPLA25OCTFUT,CIPLA,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
16483842,64390,COALINDIA25AUGFUT,COALINDIA,0.0,2025-08-28,0.0,0.05,1350,FUT,NFO-FUT,NFO
13586178,53071,COALINDIA25SEPFUT,COALINDIA,0.0,2025-09-30,0.0,0.05,1350,FUT,NFO-FUT,NFO
13390850,52308,COALINDIA25OCTFUT,COALINDIA,0.0,2025-10-28,0.0,0.05,1350,FUT,NFO-FUT,NFO
16484098,64391,COFORGE25AUGFUT,COFORGE,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13590018,53086,COFORGE25SEPFUT,COFORGE,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13391106,52309,COFORGE25OCTFUT,COFORGE,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
16484354,64392,COLPAL25AUGFUT,COLPAL,0.0,2025-08-28,0.0,0.1,225,FUT,NFO-FUT,NFO
13590274,53087,COLPAL25SEPFUT,COLPAL,0.0,2025-09-30,0.0,0.1,225,FUT,NFO-FUT,NFO
13391362,52310,COLPAL25OCTFUT,COLPAL,0.0,2025-10-28,0.0,0.1,225,FUT,NFO-FUT,NFO
16484610,64393,CONCOR25AUGFUT,CONCOR,0.0,2025-08-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
13594626,53104,CONCOR25SEPFUT,CONCOR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13391618,52311,CONCOR25OCTFUT,CONCOR,0.0,2025-10-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
16484866,64394,CROMPTON25AUGFUT,CROMPTON,0.0,2025-08-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
13594882,53105,CROMPTON25SEPFUT,CROMPTON,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13392386,52314,CROMPTON25OCTFUT,CROMPTON,0.0,2025-10-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
16485122,64395,CUMMINSIND25AUGFUT,CUMMINSIND,0.0,2025-08-28,0.0,0.1,200,FUT,NFO-FUT,NFO
13598978,53121,CUMMINSIND25SEPFUT,CUMMINSIND,0.0,2025-09-30,0.0,0.1,200,FUT,NFO-FUT,NFO
13392642,52315,CUMMINSIND25OCTFUT,CUMMINSIND,0.0,2025-10-28,0.0,0.1,200,FUT,NFO-FUT,NFO
16485378,64396,CYIENT25AUGFUT,CYIENT,0.0,2025-08-28,0.0,0.1,425,FUT,NFO-FUT,NFO
13599234,53122,CYIENT25SEPFUT,CYIENT,0.0,2025-09-30,0.0,0.1,425,FUT,NFO-FUT,NFO
13392898,52316,CYIENT25OCTFUT,CYIENT,0.0,2025-10-28,0.0,0.1,425,FUT,NFO-FUT,NFO
16485634,64397,DABUR25AUGFUT,DABUR,0.0,2025-08-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
13601538,53131,DABUR25SEPFUT,DABUR,0.0,2025-09-30,0.0,0.05,1250,FUT,NFO-FUT,NFO
13393154,52317,DABUR25OCTFUT,DABUR,0.0,2025-10-28,0.0,0.05,1250,FUT,NFO-FUT,NFO
16485890,64398,DALBHARAT25AUGFUT,DALBHARAT,0.0,2025-08-28,0.0,0.1,325,FUT,NFO-FUT,NFO
13601794,53132,DALBHARAT25SEPFUT,DALBHARAT,0.0,2025-09-30,0.0,0.1,325,FUT,NFO-FUT,NFO
13393410,52318,DALBHARAT25OCTFUT,DALBHARAT,0.0,2025-10-28,0.0,0.1,325,FUT,NFO-FUT,NFO
16486146,64399,DELHIVERY25AUGFUT,DELHIVERY,0.0,2025-08-28,0.0,0.05,2075,FUT,NFO-FUT,NFO
13602050,53133,DELHIVERY25SEPFUT,DELHIVERY,0.0,2025-09-30,0.0,0.05,2075,FUT,NFO-FUT,NFO
13393666,52319,DELHIVERY25OCTFUT,DELHIVERY,0.0,2025-10-28,0.0,0.05,2075,FUT,NFO-FUT,NFO
16486402,64400,DIVISLAB25AUGFUT,DIVISLAB,0.0,2025-08-28,0.0,0.5,100,FUT,NFO-FUT,NFO
13602306,53134,DIVISLAB25SEPFUT,DIVISLAB,0.0,2025-09-30,0.0,0.5,100,FUT,NFO-FUT,NFO
13395458,52326,DIVISLAB25OCTFUT,DIVISLAB,0.0,2025-10-28,0.0,0.5,100,FUT,NFO-FUT,NFO
16486658,64401,DIXON25AUGFUT,DIXON,0.0,2025-08-28,0.0,1.0,50,FUT,NFO-FUT,NFO
13602562,53135,DIXON25SEPFUT,DIXON,0.0,2025-09-30,0.0,1.0,50,FUT,NFO-FUT,NFO
13395714,52327,DIXON25OCTFUT,DIXON,0.0,2025-10-28,0.0,1.0,50,FUT,NFO-FUT,NFO
16486914,64402,DLF25AUGFUT,DLF,0.0,2025-08-28,0.0,0.05,825,FUT,NFO-FUT,NFO
13602818,53136,DLF25SEPFUT,DLF,0.0,2025-09-30,0.0,0.05,825,FUT,NFO-FUT,NFO
13395970,52328,DLF25OCTFUT,DLF,0.0,2025-10-28,0.0,0.05,825,FUT,NFO-FUT,NFO
16487170,64403,DMART25AUGFUT,DMART,0.0,2025-08-28,0.0,0.1,150,FUT,NFO-FUT,NFO
13603330,53138,DMART25SEPFUT,DMART,0.0,2025-09-30,0.0,0.1,150,FUT,NFO-FUT,NFO
13396226,52329,DMART25OCTFUT,DMART,0.0,2025-10-28,0.0,0.1,150,FUT,NFO-FUT,NFO
16487426,64404,DRREDDY25AUGFUT,DRREDDY,0.0,2025-08-28,0.0,0.1,625,FUT,NFO-FUT,NFO
13603586,53139,DRREDDY25SEPFUT,DRREDDY,0.0,2025-09-30,0.0,0.1,625,FUT,NFO-FUT,NFO
13398018,52336,DRREDDY25OCTFUT,DRREDDY,0.0,2025-10-28,0.0,0.1,625,FUT,NFO-FUT,NFO
16487682,64405,EICHERMOT25AUGFUT,EICHERMOT,0.0,2025-08-28,0.0,0.5,175,FUT,NFO-FUT,NFO
13606146,53149,EICHERMOT25SEPFUT,EICHERMOT,0.0,2025-09-30,0.0,0.5,175,FUT,NFO-FUT,NFO
13398274,52337,EICHERMOT25OCTFUT,EICHERMOT,0.0,2025-10-28,0.0,0.5,175,FUT,NFO-FUT,NFO
16488194,64407,ETERNAL25AUGFUT,ETERNAL,0.0,2025-08-28,0.0,0.05,2425,FUT,NFO-FUT,NFO
13606402,53150,ETERNAL25SEPFUT,ETERNAL,0.0,2025-09-30,0.0,0.05,2425,FUT,NFO-FUT,NFO
13398530,52338,ETERNAL25OCTFUT,ETERNAL,0.0,2025-10-28,0.0,0.05,2425,FUT,NFO-FUT,NFO
16488706,64409,EXIDEIND25AUGFUT,EXIDEIND,0.0,2025-08-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
13606658,53151,EXIDEIND25SEPFUT,EXIDEIND,0.0,2025-09-30,0.0,0.05,1800,FUT,NFO-FUT,NFO
13398786,52339,EXIDEIND25OCTFUT,EXIDEIND,0.0,2025-10-28,0.0,0.05,1800,FUT,NFO-FUT,NFO
16488962,64410,FEDERALBNK25AUGFUT,FEDERALBNK,0.0,2025-08-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
13606914,53152,FEDERALBNK25SEPFUT,FEDERALBNK,0.0,2025-09-30,0.0,0.01,5000,FUT,NFO-FUT,NFO
13399042,52340,FEDERALBNK25OCTFUT,FEDERALBNK,0.0,2025-10-28,0.0,0.01,5000,FUT,NFO-FUT,NFO
16409858,64101,FINNIFTY25AUGFUT,FINNIFTY,0.0,2025-08-28,0.0,0.1,65,FUT,NFO-FUT,NFO
13567234,52997,FINNIFTY25SEPFUT,FINNIFTY,0.0,2025-09-30,0.0,0.1,65,FUT,NFO-FUT,NFO
13349378,52146,FINNIFTY25OCTFUT,FINNIFTY,0.0,2025-10-28,0.0,0.1,65,FUT,NFO-FUT,NFO
16489730,64413,FORTIS25AUGFUT,FORTIS,0.0,2025-08-28,0.0,0.05,775,FUT,NFO-FUT,NFO
13607426,53154,FORTIS25SEPFUT,FORTIS,0.0,2025-09-30,0.0,0.05,775,FUT,NFO-FUT,NFO
13399298,52341,FORTIS25OCTFUT,FORTIS,0.0,2025-10-28,0.0,0.05,775,FUT,NFO-FUT,NFO
16489986,64414,GAIL25AUGFUT,GAIL,0.0,2025-08-28,0.0,0.01,3150,FUT,NFO-FUT,NFO
13608706,53159,GAIL25SEPFUT,GAIL,0.0,2025-09-30,0.0,0.01,3150,FUT,NFO-FUT,NFO
13399554,52342,GAIL25OCTFUT,GAIL,0.0,2025-10-28,0.0,0.01,3150,FUT,NFO-FUT,NFO
16490242,64415,GLENMARK25AUGFUT,GLENMARK,0.0,2025-08-28,0.0,0.1,375,FUT,NFO-FUT,NFO
13608962,53160,GLENMARK25SEPFUT,GLENMARK,0.0,2025-09-30,0.0,0.1,375,FUT,NFO-FUT,NFO
13399810,52343,GLENMARK25OCTFUT,GLENMARK,0.0,2025-10-28,0.0,0.1,375,FUT,NFO-FUT,NFO
16490498,64416,GMRAIRPORT25AUGFUT,GMRAIRPORT,0.0,2025-08-28,0.0,0.01,6975,FUT,NFO-FUT,NFO
13609218,53161,GMRAIRPORT25SEPFUT,GMRAIRPORT,0.0,2025-09-30,0.0,0.01,6975,FUT,NFO-FUT,NFO
13400066,52344,GMRAIRPORT25OCTFUT,GMRAIRPORT,0.0,2025-10-28,0.0,0.01,6975,FUT,NFO-FUT,NFO
16490754,64417,GODREJCP25AUGFUT,GODREJCP,0.0,2025-08-28,0.0,0.1,500,FUT,NFO-FUT,NFO
13609474,53162,GODREJCP25SEPFUT,GODREJCP,0.0,2025-09-30,0.0,0.1,500,FUT,NFO-FUT,NFO
13400322,52345,GODREJCP25OCTFUT,GODREJCP,0.0,2025-10-28,0.0,0.1,500,FUT,NFO-FUT,NFO
16491010,64418,GODREJPROP25AUGFUT,GODREJPROP,0.0,2025-08-28,0.0,0.1,275,FUT,NFO-FUT,NFO
